date;clot
29/09/2015;1,078
30/09/2015;1,102
01/10/2015;1,054
02/10/2015;1,026
05/10/2015;1,071
06/10/2015;1,086
07/10/2015;1,079
08/10/2015;1,081
09/10/2015;1,098
12/10/2015;1,067
13/10/2015;1,04
14/10/2015;1,011
15/10/2015;1,05
16/10/2015;1,043
19/10/2015;1,076
20/10/2015;1,046
21/10/2015;1,032
22/10/2015;1,085
23/10/2015;1,143
26/10/2015;1,162
27/10/2015;1,135
28/10/2015;1,161
29/10/2015;1,262
30/10/2015;1,269
02/11/2015;1,27
03/11/2015;1,263
04/11/2015;1,216
05/11/2015;1,194
06/11/2015;1,165
09/11/2015;1,149
10/11/2015;1,184
11/11/2015;1,175
12/11/2015;1,149
13/11/2015;1,153
16/11/2015;1,148
17/11/2015;1,172
18/11/2015;1,153
19/11/2015;1,162
20/11/2015;1,182
23/11/2015;1,184
24/11/2015;1,153
25/11/2015;1,173
26/11/2015;1,198
27/11/2015;1,232
30/11/2015;1,224
01/12/2015;1,2
02/12/2015;1,177
03/12/2015;1,151
04/12/2015;1,167
07/12/2015;1,192
08/12/2015;1,164
09/12/2015;1,144
10/12/2015;1,122
11/12/2015;1,099
14/12/2015;1,088
15/12/2015;1,149
16/12/2015;1,14
17/12/2015;1,175
18/12/2015;1,142
21/12/2015;1,122
22/12/2015;1,123
23/12/2015;1,168
28/12/2015;1,174
29/12/2015;1,19
30/12/2015;1,175
04/01/2016;1,127
05/01/2016;1,142
06/01/2016;1,106
07/01/2016;1,111
08/01/2016;1,077
11/01/2016;1,073
12/01/2016;1,077
13/01/2016;1,077
14/01/2016;1,059
15/01/2016;1
18/01/2016;1
19/01/2016;1,047
20/01/2016;0,977
21/01/2016;1,029
22/01/2016;1,058
25/01/2016;1,028
26/01/2016;1,025
27/01/2016;1,039
28/01/2016;0,977
29/01/2016;1,022
01/02/2016;0,994
02/02/2016;0,966
03/02/2016;0,943
04/02/2016;0,93
05/02/2016;0,893
08/02/2016;0,84
09/02/2016;0,87
10/02/2016;0,907
11/02/2016;0,826
12/02/2016;0,859
15/02/2016;0,877
16/02/2016;0,82
17/02/2016;0,853
18/02/2016;0,886
19/02/2016;0,856
22/02/2016;0,904
23/02/2016;0,889
24/02/2016;0,868
25/02/2016;0,905
26/02/2016;0,916
29/02/2016;0,899
01/03/2016;0,929
02/03/2016;0,944
03/03/2016;0,998
04/03/2016;1,02
07/03/2016;0,983
08/03/2016;0,999
09/03/2016;1,014
10/03/2016;0,988
11/03/2016;1,042
14/03/2016;1,032
15/03/2016;1,046
16/03/2016;1,033
17/03/2016;1,013
18/03/2016;1,01
21/03/2016;1,041
22/03/2016;1,046
23/03/2016;1,007
24/03/2016;0,969
29/03/2016;0,957
30/03/2016;0,954
31/03/2016;0,948
01/04/2016;0,915
04/04/2016;0,88
05/04/2016;0,859
06/04/2016;0,86
07/04/2016;0,836
08/04/2016;0,889
11/04/2016;0,899
12/04/2016;0,857
13/04/2016;0,885
14/04/2016;0,899
15/04/2016;0,895
18/04/2016;0,88
19/04/2016;0,901
20/04/2016;0,906
21/04/2016;0,923
22/04/2016;0,895
25/04/2016;0,855
26/04/2016;0,866
27/04/2016;0,843
28/04/2016;0,868
29/04/2016;0,85
02/05/2016;0,847
03/05/2016;0,837
04/05/2016;0,846
05/05/2016;0,871
06/05/2016;0,861
09/05/2016;0,85
10/05/2016;0,868
11/05/2016;0,847
12/05/2016;0,838
13/05/2016;0,848
16/05/2016;0,873
17/05/2016;0,849
18/05/2016;0,845
19/05/2016;0,831
20/05/2016;0,828
23/05/2016;0,83
24/05/2016;0,81
25/05/2016;0,832
26/05/2016;0,867
27/05/2016;0,87
30/05/2016;0,865
31/05/2016;0,851
01/06/2016;0,855
02/06/2016;0,855
03/06/2016;0,845
06/06/2016;0,845
07/06/2016;0,863
08/06/2016;0,865
09/06/2016;0,853
10/06/2016;0,822
13/06/2016;0,792
14/06/2016;0,762
15/06/2016;0,76
16/06/2016;0,74
17/06/2016;0,769
20/06/2016;0,795
21/06/2016;0,786
22/06/2016;0,79
23/06/2016;0,828
24/06/2016;0,69
27/06/2016;0,668
28/06/2016;0,703
29/06/2016;0,745
30/06/2016;0,735
01/07/2016;0,737
04/07/2016;0,74
05/07/2016;0,731
06/07/2016;0,652
07/07/2016;0,634
08/07/2016;0,648
11/07/2016;0,663
12/07/2016;0,693
13/07/2016;0,656
14/07/2016;0,667
15/07/2016;0,673
18/07/2016;0,694
19/07/2016;0,693
20/07/2016;0,687
21/07/2016;0,678
22/07/2016;0,695
25/07/2016;0,7
26/07/2016;0,693
27/07/2016;0,747
28/07/2016;0,743
29/07/2016;0,764
01/08/2016;0,764
02/08/2016;0,745
03/08/2016;0,742
04/08/2016;0,752
05/08/2016;0,767
08/08/2016;0,768
09/08/2016;0,762
10/08/2016;0,756
11/08/2016;0,789
12/08/2016;0,787
16/08/2016;0,791
17/08/2016;0,806
18/08/2016;0,809
19/08/2016;0,799
22/08/2016;0,793
23/08/2016;0,809
24/08/2016;0,808
25/08/2016;0,807
26/08/2016;0,815
29/08/2016;0,809
30/08/2016;0,825
31/08/2016;0,814
01/09/2016;0,817
02/09/2016;0,82
05/09/2016;0,818
06/09/2016;0,805
07/09/2016;0,805
08/09/2016;0,817
09/09/2016;0,804
12/09/2016;0,789
13/09/2016;0,759
14/09/2016;0,75
15/09/2016;0,754
16/09/2016;0,734
19/09/2016;0,732
20/09/2016;0,729
21/09/2016;0,748
22/09/2016;0,767
23/09/2016;0,764
26/09/2016;0,743
27/09/2016;0,735
28/09/2016;0,75
29/09/2016;0,744
30/09/2016;0,739
03/10/2016;0,732
04/10/2016;0,732
05/10/2016;0,73
06/10/2016;0,726
07/10/2016;0,723
10/10/2016;0,74
11/10/2016;0,722
12/10/2016;0,701
13/10/2016;0,695
14/10/2016;0,716
17/10/2016;0,733
18/10/2016;0,758
19/10/2016;0,757
20/10/2016;0,76
21/10/2016;0,773
24/10/2016;0,793
25/10/2016;0,799
26/10/2016;0,8
27/10/2016;0,793
28/10/2016;0,791
31/10/2016;0,791
01/11/2016;0,79
02/11/2016;0,773
03/11/2016;0,771
04/11/2016;0,75
07/11/2016;0,748
08/11/2016;0,757
09/11/2016;0,746
10/11/2016;0,732
11/11/2016;0,714
14/11/2016;0,696
15/11/2016;0,708
16/11/2016;0,703
17/11/2016;0,702
18/11/2016;0,687
21/11/2016;0,685
22/11/2016;0,698
23/11/2016;0,703
24/11/2016;0,705
25/11/2016;0,715
28/11/2016;0,684
29/11/2016;0,703
30/11/2016;0,714
01/12/2016;0,71
02/12/2016;0,722
05/12/2016;0,7
06/12/2016;0,718
07/12/2016;0,755
08/12/2016;0,765
09/12/2016;0,763
12/12/2016;0,756
13/12/2016;0,767
14/12/2016;0,765
15/12/2016;0,793
16/12/2016;0,807
19/12/2016;0,827
20/12/2016;0,843
21/12/2016;0,84
22/12/2016;0,821
23/12/2016;0,858
27/12/2016;0,87
28/12/2016;0,843
29/12/2016;0,842
30/12/2016;0,837
02/01/2017;0,858
03/01/2017;0,852
04/01/2017;0,855
05/01/2017;0,843
06/01/2017;0,848
09/01/2017;0,822
10/01/2017;0,828
11/01/2017;0,846
12/01/2017;0,834
13/01/2017;0,853
16/01/2017;0,852
17/01/2017;0,838
18/01/2017;0,831
19/01/2017;0,84
20/01/2017;0,846
23/01/2017;0,84
24/01/2017;0,831
25/01/2017;0,823
26/01/2017;0,81
27/01/2017;0,8
30/01/2017;0,781
31/01/2017;0,795
01/02/2017;0,793
02/02/2017;0,798
03/02/2017;0,819
06/02/2017;0,83
07/02/2017;0,81
08/02/2017;0,819
09/02/2017;0,825
10/02/2017;0,804
13/02/2017;0,808
14/02/2017;0,798
15/02/2017;0,795
16/02/2017;0,792
17/02/2017;0,784
20/02/2017;0,777
21/02/2017;0,77
22/02/2017;0,76
23/02/2017;0,771
24/02/2017;0,758
27/02/2017;0,768
28/02/2017;0,766
01/03/2017;0,776
02/03/2017;0,781
03/03/2017;0,786
06/03/2017;0,776
07/03/2017;0,78
08/03/2017;0,773
09/03/2017;0,784
10/03/2017;0,79
13/03/2017;0,791
14/03/2017;0,778
15/03/2017;0,789
16/03/2017;0,801
17/03/2017;0,814
20/03/2017;0,811
21/03/2017;0,813
22/03/2017;0,818
23/03/2017;0,84
24/03/2017;0,834
27/03/2017;0,848
28/03/2017;0,852
29/03/2017;0,842
30/03/2017;0,846
31/03/2017;0,843
03/04/2017;0,83
04/04/2017;0,808
05/04/2017;0,814
06/04/2017;0,814
07/04/2017;0,81
10/04/2017;0,806
11/04/2017;0,804
12/04/2017;0,805
13/04/2017;0,801
18/04/2017;0,779
19/04/2017;0,79
20/04/2017;0,79
21/04/2017;0,788
24/04/2017;0,816
25/04/2017;0,828
26/04/2017;0,83
27/04/2017;0,821
28/04/2017;0,815
02/05/2017;0,83
03/05/2017;0,827
04/05/2017;0,865
05/05/2017;0,886
08/05/2017;0,888
09/05/2017;0,894
10/05/2017;0,886
11/05/2017;0,88
12/05/2017;0,901
15/05/2017;0,9
16/05/2017;0,915
17/05/2017;0,898
18/05/2017;0,874
19/05/2017;0,882
22/05/2017;0,871
23/05/2017;0,858
24/05/2017;0,865
25/05/2017;0,866
26/05/2017;0,86
29/05/2017;0,847
30/05/2017;0,831
31/05/2017;0,833
01/06/2017;0,834
02/06/2017;0,838
05/06/2017;0,83
06/06/2017;0,826
07/06/2017;0,829
08/06/2017;0,831
09/06/2017;0,825
12/06/2017;0,828
13/06/2017;0,832
14/06/2017;0,834
15/06/2017;0,825
16/06/2017;0,833
19/06/2017;0,836
20/06/2017;0,829
21/06/2017;0,832
22/06/2017;0,823
23/06/2017;0,815
26/06/2017;0,806
27/06/2017;0,807
28/06/2017;0,821
29/06/2017;0,819
30/06/2017;0,808
03/07/2017;0,823
04/07/2017;0,809
05/07/2017;0,802
06/07/2017;0,805
07/07/2017;0,806
10/07/2017;0,791
11/07/2017;0,789
12/07/2017;0,806
13/07/2017;0,827
14/07/2017;0,805
17/07/2017;0,815
18/07/2017;0,824
19/07/2017;0,833
20/07/2017;0,816
21/07/2017;0,813
24/07/2017;0,844
25/07/2017;0,858
26/07/2017;0,867
27/07/2017;0,866
28/07/2017;0,854
31/07/2017;0,871
01/08/2017;0,87
02/08/2017;0,872
03/08/2017;0,871
04/08/2017;0,876
07/08/2017;0,885
08/08/2017;0,867
09/08/2017;0,864
10/08/2017;0,85
11/08/2017;0,838
14/08/2017;0,847
16/08/2017;0,855
17/08/2017;0,848
18/08/2017;0,834
21/08/2017;0,828
22/08/2017;0,827
23/08/2017;0,817
24/08/2017;0,812
25/08/2017;0,811
28/08/2017;0,814
29/08/2017;0,792
30/08/2017;0,791
31/08/2017;0,805
01/09/2017;0,795
04/09/2017;0,784
05/09/2017;0,779
06/09/2017;0,776
07/09/2017;0,781
08/09/2017;0,78
11/09/2017;0,787
12/09/2017;0,789
13/09/2017;0,782
14/09/2017;0,775
15/09/2017;0,78
18/09/2017;0,817
19/09/2017;0,803
20/09/2017;0,797
21/09/2017;0,796
22/09/2017;0,795
25/09/2017;0,792
26/09/2017;0,794
27/09/2017;0,805
28/09/2017;0,798
29/09/2017;0,793
02/10/2017;0,778
03/10/2017;0,776
04/10/2017;0,761
05/10/2017;0,769
